t,iter,drug_c,pd_output_1,scope,scenario
0.0,36,0.0,5.6281946458525205,ode_,scn1
2.0,36,0.0,5.6281946458525205,ode_,scn1
4.0,36,0.0,5.6281946458525205,ode_,scn1
8.0,36,0.0,5.6281946458525205,ode_,scn1
12.0,36,0.0,5.6281946458525205,ode_,scn1
24.0,36,0.0,5.6281946458525205,ode_,scn1
48.0,36,0.0,5.6281946458525205,ode_,scn1
72.0,36,0.0,5.6281946458525205,ode_,scn1
120.0,36,0.0,5.6281946458525205,ode_,scn1
0.0,37,0.0,5.4607221516009705,ode_,scn1
2.0,37,0.0,5.4607221516009705,ode_,scn1
4.0,37,0.0,5.4607221516009705,ode_,scn1
8.0,37,0.0,5.4607221516009705,ode_,scn1
12.0,37,0.0,5.4607221516009705,ode_,scn1
24.0,37,0.0,5.4607221516009705,ode_,scn1
48.0,37,0.0,5.4607221516009705,ode_,scn1
72.0,37,0.0,5.4607221516009705,ode_,scn1
120.0,37,0.0,5.4607221516009705,ode_,scn1
0.0,38,0.0,5.410950449806336,ode_,scn1
2.0,38,0.0,5.410950449806336,ode_,scn1
4.0,38,0.0,5.410950449806336,ode_,scn1
8.0,38,0.0,5.410950449806336,ode_,scn1
12.0,38,0.0,5.410950449806336,ode_,scn1
24.0,38,0.0,5.410950449806336,ode_,scn1
48.0,38,0.0,5.410950449806336,ode_,scn1
72.0,38,0.0,5.410950449806336,ode_,scn1
120.0,38,0.0,5.410950449806336,ode_,scn1
0.0,39,0.0,5.162361129868671,ode_,scn1
2.0,39,0.0,5.162361129868671,ode_,scn1
4.0,39,0.0,5.162361129868671,ode_,scn1
8.0,39,0.0,5.162361129868671,ode_,scn1
12.0,39,0.0,5.162361129868671,ode_,scn1
24.0,39,0.0,5.162361129868671,ode_,scn1
48.0,39,0.0,5.162361129868671,ode_,scn1
72.0,39,0.0,5.162361129868671,ode_,scn1
120.0,39,0.0,5.162361129868671,ode_,scn1
0.0,40,0.0,4.13767877400263,ode_,scn1
2.0,40,0.0,4.13767877400263,ode_,scn1
